id,trigger,conditions,script,text,options,notes,New Column,Column 09
mimokko_home_miruku2_9,DialogOptionSelected,$option == mimikko_Inhome_miruku2_8,,"It is a weapon blueprint, though it is only the size of a regular tactical laser. The blueprint is rather crude, which is very different from the Miruku's extremely detail-oriented approach. However, key areas of the weapon are artfully designed, with multiple layers of redundancy for each part, yet keeping the weapon's size the same as a normal tactical laser. As you admired the attention to detail in her design, you cannot but help a critical mistake. The firing model is connected back into the flux network. ",5:mimikko_Inhome_miruku2_9:Miruku...This part of your design...,,,
mimokko_home_miruku2_10,DialogOptionSelected,$option == mimikko_Inhome_miruku2_9,,"You instinctively tried to provide a commentary, without realizing Miruku is asleep.

Miruku is a bit startled when she first woke up, but she quickly collected her thoughts and returned to her usual self. As you begin discussing the blueprint, you are amazed by the fact that her error is unavoidable. Or rather, that ""error"" is what allowed this weapon to meet its design purpose, to draw energy back from the existing waste flux in the network. 

What kind of courage and scientific approach does it take to accomplish this.
",5:mimikko_Inhome_miruku2_10:Pat her head,,,
mimokko_home_miruku2_11,DialogOptionSelected,$option == mimikko_Inhome_miruku2_10,"$global.mirukuweapon = true
mmAddWeapon mimikko_miruku_pointer 5","You carefully moved your hand to be slightly above  Miruku's head, avoding bangs of her hair. She happily smiled and stood there with her usual elegance.  

""It's wonderful to have you, Miruku!"" You thanked her from the bottom of your heart, though she didn't give any special reaction, continuing with her usual lectures on the way back, but all you can think of is the weapon. ",5:mimikko_Inhome_next:Return to the bridge and order the armory to begin testing the weapon,,,
,,,,,,,,
#诺诺娜,,,,,,,,
mimokko_home_nonona,mimikkoImhome2,mmOfficertest 2 Mimikko_nonona 0,,,5:mimikko_Inhome_nonona1:Go find Nonona!,,,
mimokko_home_nonona_1,DialogOptionSelected,$option == mimikko_Inhome_nonona1,"FireAll mimikko_home_nonona
mmShowpeoplev Mimikko_nonona",,,,,
#诺诺娜_摸头,,,,,,,,
mimokko_home_nonona1_1,mimikko_home_nonona,,,"""Does the captain need Nonona's help with anything?""",5:mimikko_Inhome_nonona1_1:Pat her,,,
mimokko_home_nonona1_2,DialogOptionSelected,$option == mimikko_Inhome_nonona1_1,,"""Wait, your smile is kinda strange, captain...""",5:mimikko_Inhome_next:Do something else,,,
#诺诺纳_头像,,,,,,,,
mimokko_home_nonona_clo_0_1,mimikko_home_nonona,,,,"5:mimikko_Inhome_nonona_clo_0:Nonona, can this cloth make your magic better?",,,
mimokko_home_nonona_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_nonona_clo_0,FireAll mimikko_home_nonona_clo,,,,,
#诺诺纳_原皮,,,,,,,,
mimokko_home_nonona_clo_1_1,mimikko_home_nonona_clo,,,,5:mimikko_Inhome_nonona_clo_1:Official Outfit,,,
mimokko_home_nonona_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_nonona_clo_1,mmChangeclo Mimikko_nonona nonona_1,"""Captain, this is the proper outfit of a witch!""",5:mimikko_Inhome_next:Yay,,,
#诺诺纳_永誓花,,,,,,,,
mimokko_home_nonona_clo_2_1,mimikko_home_nonona_clo,,,,5:mimikko_Inhome_nonona_clo_2:Given Promise,,,
mimokko_home_nonona_clo_2_2,DialogOptionSelected,$option == mimikko_Inhome_nonona_clo_2,mmChangeclo Mimikko_nonona nonona_2,"""Captain, this outfit doesn't help with magic, but it  makes another kind of magic really strong!""",5:mimikko_Inhome_next:Yay,,,
,,,,,,,,
,,,,,,,,
#诺诺娜_苏娜,,,,,,,,
mimokko_home_nonona2_0,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.sunameetmission
mmOfficertest 2 Mimikko_nonona 0.1","mmAddtext ""You got a message on your tripad from Nonona. She send it tripad message via magic?"" 150 50 255",,,,,
mimokko_home_nonona2_1,mimikko_home_nonona,"mmOfficertest 2 Mimikko_nonona 0.1
!$global.sunameetmission",,,5:mimikko_Inhome_nonona2_1:Mysterious Companion,,,
mimokko_home_nonona2_2,DialogOptionSelected,$option == mimikko_Inhome_nonona2_1,,"Nonona came to you asking for your help in locating a good friend of hers. That friend recently came to this world, since Nonona is busy with her potions and have no time, she entrusted the task to you. ",5:mimikko_Inhome_nonona2_2:Continue,,,
mimokko_home_nonona2_3,DialogOptionSelected,$option == mimikko_Inhome_nonona2_2,,"She poured some potion into her caludro, as she stirred, the colors suddenly appeared in the murky liquid. When her action stopped, you saw more detail. It was a fairy tale like scene, blue sky, silk like cloud, and the green forest and trees all point to a earth-like planet. Within the image is the back of a tall girl, her pink hair seems to glow, whats even more noticable is her hat and costume, just like Nonona's.",5:mimikko_Inhome_nonona2_3:Continue,,,
mimokko_home_nonona2_4,DialogOptionSelected,$option == mimikko_Inhome_nonona2_3,,"This is soon over, you can confirm that the target is in the Persean sector. After all, these planets are and theres only a few of them in the sector. ",5:mimikko_Inhome_nonona2_4:Continue,,,
mimokko_home_nonona2_5,DialogOptionSelected,$option == mimikko_Inhome_nonona2_4,$global.sunameetmission = true,"Another friend, huh. Nonona's influence on the fleet's armor coating technology has been massive, perhaps another magic user would finally drive the research department over the edge.",5:mimikko_Inhome_next:Go Find Her,,,
,,,,,,,,
,,,,,,,,
#诺诺娜_消除魔药_1,,,,,,,,
mimokko_home_nonona3_0,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.nononaremoveskill_1
mmOfficertest 2 Mimikko_nonona 0.05","mmAddtext ""There is a parchment on your table with a line written in beautiful handwriting of an unknown language. Though your tripad recognized this as an Invitation from Nonona."" 150 50 255",,,,,
mimokko_home_nonona3_1,mimikko_home_nonona,"mmOfficertest 2 Mimikko_nonona 0.05
!$global.nononaremoveskill_1",,,5:mimikko_Inhome_nonona3_1:New potions?,,,
mimokko_home_nonona3_2,DialogOptionSelected,$option == mimikko_Inhome_nonona3_1,,"""Captain, look!"" A thick purpish and pink liquid glows in Nonona's great cauldron in the dorm. Although you have arranged for high capacity ventilation system for Nonona's dorm, you cannot help but worry about the effect Nonona's potion may have on others in the dorm, given how often she asks for various glass equipments. 
""Is this the new magic potion?"" Nonona's potion is clearly a unique technology for the fleet, any potential development could be the key to a victory, that is why you are very supportive of her  resear.....ehh, alchemy. 
""Yes, captain, there are too many new material in this world, so there are a lot of uncertainty with the potion's effect. If you have tried the chaos potion, you should have a good idea of what it is like."" Nonona leisurly added new fragments into the cauldron. You notice the cotainer seems to say ""hyperspace fragment"". ",5:mimikko_Inhome_nonona3_2:What does the new potions do?,,,
mimokko_home_nonona3_3,DialogOptionSelected,$option == mimikko_Inhome_nonona3_2,,"""Let Nonona focus for a moment!"" Nonona's magical staff begin to emit a beautiful glow, energy gathered at its tip before flying into the cauldron like a data stream. ",5:mimikko_Inhome_nonona3_3:Remain silent,,,
mimokko_home_nonona3_4,DialogOptionSelected,$option == mimikko_Inhome_nonona3_3,,"""Dang Dang~!"" When the glow in the cauldron finally disappered for good, the liquid inside are half transparent, with pinkish purple coloration and fragments here and there, the whole cauldron looks like a magical night sky. 
""This potion is based adding additional ingridents to the chaos potion, tested by a witch like myself, it can be stable....!""
Nonona suddenly stopped, as if to gauge your reaction.",5:mimikko_Inhome_nonona3_4: Oh Great witch! What could this cauldron of potion accomplish!,,,
mimokko_home_nonona3_5,DialogOptionSelected,$option == mimikko_Inhome_nonona3_4,,"""Heheh! Achieving stability, the highest level of alchemy! The effect of this potion is to reliably remove the chaotic energy left by the chaos potion. Using this can allow you to immediately clense the chaotic energy on a ship and restore the ship to its brand new state!"" Nonona smugly swang a vial of the potion infront of your face, seemingly to invite you to enjoy the starry night, though the cauldron is clearly more beautiful. ","5:mimikko_Inhome_nonona3_5:In other word, this is a pot of detergent?",,,
mimokko_home_nonona3_6,DialogOptionSelected,$option == mimikko_Inhome_nonona3_5,,"""Hmph! How can you say that about my new work! I worked very hard to get this color!""",5:mimikko_Inhome_nonona3_6:You are experimenting with color?,,,
mimokko_home_nonona3_7,DialogOptionSelected,$option == mimikko_Inhome_nonona3_6,,"""Fine, since the chaos potion always made the ships into a sub-par condition, I made these new potion to reduce ships for the captain. I'll pack them up for you, if captain doesnt want the ships to be affected by the chaos potion, just come find me!"" ",5:mimikko_Inhome_nonona3_7:Thank Nonona! Pat her head!,,,
mimokko_home_nonona3_8,DialogOptionSelected,$option == mimikko_Inhome_nonona3_7,"$global.nononaremoveskill_1 = true
$global.nononaremoveskill_2 = true","""Ehehe""",5:mimikko_Inhome_nonona1:Do something else,,,
#诺诺娜_消除魔药_2,,,,,,,,
mimokko_home_nonona4_1,mimikko_home_nonona,$global.nononaremoveskill_2,,,5:mimikko_Inhome_nonona4_1:Check out the star potion storage,,,
mimokko_home_nonona4_2,DialogOptionSelected,$option == mimikko_Inhome_nonona4_1,,"Do you want to remove the effect of chaos potion? If you remove the effect, you will need to use story point to make Nonona's skill elite again. ","5:mimikko_Inhome_nonona4_2:Clense effect
5:mimikko_Inhome_nonona4_3:Next time",,,
mimokko_home_nonona4_3,DialogOptionSelected,$option == mimikko_Inhome_nonona4_2,Mimikko_nononaskill_remove,The potion's effect is removed!,5:mimikko_Inhome_nonona1:Do something else,,,
mimokko_home_nonona4_4,DialogOptionSelected,$option == mimikko_Inhome_nonona4_3,,,5:mimikko_Inhome_nonona1:Do something else,,,
,,,,,,,,
#诺诺娜_典范,,,,,,,,
mimokko_home_nonona5_0,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.nonona_paragon
mmOfficertest 2 Mimikko_nonona 1","mmAddtext ""Strange symbol has been appearing on your tripad, though you cannot understand them, the database suggest that Nonona is looking for you for an emergency, could she have hacked your tripad with magic?"" 150 50 255",,,,,
mimokko_home_nonona5_1,mimikko_home_nonona,"!$global.nonona_paragon
mmOfficertest 2 Mimikko_nonona 1","SetStoryOption mimikko_Inhome_nonona5_1 6 avoidCargoScan ui_char_spent_story_point ""Go to the location provided by Nonona""",,5:mimikko_Inhome_nonona5_1:Go to the location provided by Nonona,,,
mimokko_home_nonona5_2,DialogOptionSelected,$option == mimikko_Inhome_nonona5_1,,"Its strange to see Nonona at a place like this, when she usually just stays at home.

Based on the location Nonona provided in ancient magical runes, translated by your tripad, you found this hidden location after a hour of travelling. Were it not for the tripad's suggestion, you would've came by shuttle, but each barrier the tripad lead you through made you feel glad you did not take the shuttle. ","5:mimikko_Inhome_nonona5_2:Nonona, why are you here alone?",,,
mimokko_home_nonona5_3,DialogOptionSelected,$option == mimikko_Inhome_nonona5_2,,"This is the middle of the residential area with dense buildings, most of those are habitation housing that put little emphasis on comfort. Though you manage these colonies, internal security have always been a source of headche. While you stand there puzzled, Nonona walked on to the covering of the water drainage system, and after a slow chant, she disappered before you. 

You are used to Nonona's mysticism, the glowing magical circle is clearly a invition for you to explore the future, right?
",5:mimikko_Inhome_nonona5_3:Stand on the circle,,,
mimokko_home_nonona5_4,DialogOptionSelected,$option == mimikko_Inhome_nonona5_3,,"In a instant, the world before you changed, the reduction in lightning made everything seems dark, foul stench come from all directions. A dim glow of fire emenate from the mysterious pillar shaped object placed in holes dug into the walls around you. After your eyes adjusted to the darkness, you big to look for the girl in pointy hat and great robe, and you found the familar shape in the glow of flames. ",5:mimikko_Inhome_nonona5_4:Nonona?,,,
mimokko_home_nonona5_5,DialogOptionSelected,$option == mimikko_Inhome_nonona5_4,,"""Captain, please avoid speaking"", she lowered her voice and almost mumbled into your ear. ""Why? Are we sneaking?"" You lowered your voice as well, almost trying to avoid waking something. 

""No, it's just too stinky here, I don't want to take in any more of this smell. ""

""Captain, do you know where this is?"" You carefully checked out your surroundings, there is nothing like a place you knew, rough rocks, rusty metal fence, and those inefficent pillar that provided a bit of life-saving lightning and smoke.""

This, is the kingdom's sewer"" Nonona tapped the ground with ther staff, and a gentle light from the staff lit up the surrounding. 
",5:mimikko_Inhome_nonona5_5:Kingdom? Your original plane of existence?,,,
mimokko_home_nonona5_6,DialogOptionSelected,$option == mimikko_Inhome_nonona5_5,,"The glow is not too bright, but enough to see the road ahead. Between the staircase to either side is a steady stream of black waste water. At the end of the path is a heavy wooden door reinforced by metal rivet. 

""Yeah, this is Nonona's world"" Nonona explained as she lead you on.

""The kingdom doesn't have technology like the Captain's world, but it has a lot of mana, although only some can absorb them to cast spells."" Clearly, Nonona is one of those elites. ""The kingdom takes any Human with magical abilities seriously, since they needed these mages to fight against the Demon Lord. Although the Demon Lord wasnt Yurika at the time.""

""And You, Nonona?"" Sensing Nonona's ears, you paused.

""Unfortunatley, I am not a Human, but a abhuman. Abhuman are thought to be descendant of monsters, and after the war between the Kingdom and the Demon Lord, they are facing fullscale displacement. The witch of the silver moon also became feared as a lieutenant of the demon lord after her overwhelming battle record."" You two stand before the wooden gate, thought it seems it can be pushed open, Nonona tapped it with her staff, and the gate swang open by itself.",5:mimikko_Inhome_nonona5_6: This? A spell to open door? Can't we hack into tri-tachyon database?,,,
mimokko_home_nonona5_7,DialogOptionSelected,$option == mimikko_Inhome_nonona5_6,,"""That's not so, captain. This door can open because it was locked by magic"" She walked to the corner and used the light on her staff to illuminate something. The object suddenly lit up, likely a lamp powered by magic. With this one lamp lit up, all the other lamps all lit up, finally allow you to see the entire room.  ",5:mimikko_Inhome_nonona5_7:This place is?,,,
mimokko_home_nonona5_8,DialogOptionSelected,$option == mimikko_Inhome_nonona5_7,,"A long table, few wooden chairs and rows upon rows of shelves stacked with books. You vaguely recall a giant archieve in a movie called ""Harry Peter"", with mountain of data slate in side. This place gives you the same feel. 

Nonona slowly walked towards a shelf and retrieved a book, from within, she brought out a blood-red gem.

""Philosopher's stone, we call it."" Nonona closed the blook, then her eyes, and placed the gem at her chest. 
",5:mimikko_Inhome_nonona5_8:Nonona?,,,
mimokko_home_nonona5_9,DialogOptionSelected,$option == mimikko_Inhome_nonona5_8,,"The atomsphere is absolutely silent, you can even hear Nonona's heartbeat, resonating with the energy within that gem, and the endless temptation from that gem.

""My father is an alchemist, and all alchemist desires a philoshoper's stone. Legend says the stone can conjure any material to another without cost, but really, its just a pretty rock."" You heard Nonona talk about her father, although he had left Nonona very early, he had taught countless knowledge to Nonona. Thats the love of a father whose love is as diligent as their duty allows, but ultimately insufficient for his daughter. 

""This is actually father's workshop from long time ago, he sealed this gem here by using the chaos potion to disrupt space and time. Today, I managed to found its entrance in the Captain's world. Captain.....Nonona thank you for everything you did, for me, for Yurika as well. Today I will show you my greatest secret, a secret the world's fate rest on.""  Nonona swang her staff and opened another portral, the ripple seems to wave at you just like before. 。",5:mimikko_Inhome_nonona5_9:Enter it,,,
mimokko_home_nonona5_10,DialogOptionSelected,$option == mimikko_Inhome_nonona5_9,,"The distorted scenery quickly returned to normal, and you notice your tripad has signal once more. Before you, there is a maze of metal pipes, each connecting to a glass container filled with glowing stars. The locator indicate that you are in the middle of an abandoned shipyard in the outerim. The terrain scanner shows you are within a ship that resembles a Paragon-Class. Based on your understanding of the Paragon, if you are in one, you should be close to its main reactor. Yet none of the ancient pipe you've seen can resist the power of a ship's reactor at any level of output. Yet Nonona walked to the centre of the arch and took out that blood red gem. 

""Captain, this ship is the product of my all my understanding of alchemy and shipbuilding in your world."" The red gem left Nonona's control and begin to hover in the air, it floated higher and higher until it came to rest in the middle of four of the thickest pipes. The gem begin to emenate a soft, lively red glow, you ran out of word to describe what you are saying, it seems the words you can muster are forced upon you by the stone. 
",5:mimikko_Inhome_nonona5_10:This ship...is?,,,
mimokko_home_nonona5_11,DialogOptionSelected,$option == mimikko_Inhome_nonona5_10,mmShowship paragon_nonona,"""I did what I can to restore the blueprint's original capability, but without the philosopher's stone, it cannot operate for long. Captain, this ship is my fortress, our last wall against Yurika, if one day she would...""",5:mimikko_Inhome_nonona5_11:What happened to Yurika?,,,
mimokko_home_nonona5_12,DialogOptionSelected,$option == mimikko_Inhome_nonona5_11,"mmAddShip paragon_nonona
$global.nonona_paragon = true","Nonona is silent for a long time, she chose to not speak after all. She opened a giant magic circle on the spot, and then your tripad became overloaded with information - you are back at the colony.

""Captain, you will know one day. But I really hope you never found out. Yurika is our good friend, right!"" She gave you one of her usual, innocent smile, and you can no longer smile. 
",5:mimikko_Inhome_next:Checkout this ship,,,
,,,,,,,,
,,,,,,,,
#优莉卡,,,,,,,,
mimokko_home_yurika,mimikkoImhome2,mmOfficertest 2 Mimikko_yurika 0,,,5:mimikko_Inhome_yurika1:Go find Yurika!,,,
mimokko_home_yurika_1,DialogOptionSelected,$option == mimikko_Inhome_yurika1,"FireAll mimikko_home_yurika
mmShowpeoplev Mimikko_yurika",,,,,
#优莉卡_摸头,,,,,,,,
mimokko_home_yurika1_1,mimikko_home_yurika,,,"""Captain, you wouldn't happen to need to beg the all-mighty demon lord for something, would you?""",5:mimikko_Inhome_yurika1_1:Pat her head,,,
mimokko_home_yurika1_2,DialogOptionSelected,$option == mimikko_Inhome_yurika1_1,,"""Since you are so eager...mah, do as you wish""",5:mimikko_Inhome_next:Do something else,,,
#优莉卡_头像,,,,,,,,
mimokko_home_yurika_clo_0_1,mimikko_home_yurika,,,,"5:mimikko_Inhome_yurika_clo_0:Yurika, I've prepared a new cape for the Demon Lord!",,,
mimokko_home_yurika_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_yurika_clo_0,FireAll mimikko_home_yurika_clo,,,,,
#优莉卡_原皮,,,,,,,,
mimokko_home_yurika_clo_1_1,mimikko_home_yurika_clo,,,,5:mimikko_Inhome_yurika_clo_1:Official Outfit,,,
mimokko_home_yurika_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_yurika_clo_1,mmChangeclo Mimikko_yurika yurika_1,"""Hero, I feel my strength returning, want to fight my demonic beast?""",5:mimikko_Inhome_next:Yay,,,
#优莉卡_瑶光思,,,,,,,,
mimokko_home_yurika_clo_2_1,mimikko_home_yurika_clo,,,,5:mimikko_Inhome_yurika_clo_2:Memory of Flowing Light,,,
mimokko_home_yurika_clo_2_2,DialogOptionSelected,$option == mimikko_Inhome_yurika_clo_2,mmChangeclo Mimikko_yurika yurika_2,"""Hero, this joke isn't funny. But then, it isn't bad!""",5:mimikko_Inhome_next:Yay,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
#优莉卡_盾,,,,,,,,
mimokko_home_yurika2_1,PopulateOptions,"$market.isPlayerOwned
$menuState == main
!$global.yurikashield
mmOfficertest 2 Mimikko_yurika 0.5","mmAddtext ""Why not check on how Yurika is doing?"" 250 119 104",,,,,
mimokko_home_yurika2_2,mimikko_home_yurika,"$market.isPlayerOwned
!$global.yurikashield
mmOfficertest 2 Mimikko_yurika 0.5","SetStoryOption mimikko_Inhome_yurika2_1 2 avoidCargoScan ui_char_spent_story_point ""Demond Lord's Weapon""",,5:mimikko_Inhome_yurika2_1:Demon Lord's Weapon,,,
mimokko_home_yurika2_3,DialogOptionSelected,$option == mimikko_Inhome_yurika2_1,,"In any world, the Demon Lord is always alone. Or rather, only someone with sufficiently advanced or heretical thought, and a very strong motivation, can be called a Demon Lord. If not for Yurika's strange magic and her knowledge from another world, you cannot get any indication of criterias that would make her a Demon Lord. Yurika is just a overly motivated and very diligent little girl. Now you think about it, maybe the praiseworthy part of her belief is heretical in her world, no ruler would want new thoughts to disrupt their rule. But according to Yurika, she has broken many old societies in many world, defeated their heros and kings, and reunited the world with the thought of unity, saving civilization from chaos. ",5:mimikko_Inhome_yurika2_2:Continue,,,
mimokko_home_yurika2_4,DialogOptionSelected,$option == mimikko_Inhome_yurika2_2,,"Maybe, your thought have fallen behind Yurika, maybe stability and security isn't the best path for peace, but Human are creatures like this. Selfishness and profit will always takeover some men's mind, and those people will only stirr up the rest. That is how what was united collapse into what is divided. Yet through collapse, the need within can drive people into development, perhaps that is the truth behind human development.",5:mimikko_Inhome_yurika2_3:Maybe she is in the training room?,,,
mimokko_home_yurika2_5,DialogOptionSelected,$option == mimikko_Inhome_yurika2_3,,"""Yurika? How goes the training?"" You visited the simulation training room out of habit on your way back to the bridge. Yurika, as usual, is training there to figure out how to defeat the AI that learned part of your tactics. 

""Ah, Hero, as you see, I have made the leap from being completely wiped out to dragging a ship or two down with me! If I keep going, I will defeat this program!"" From your perspectively, she easily threw away her flagship and confidently declared her accomplishment to you. 
","5:mimikko_Inhome_yurika2_4:Good, good",,,
mimokko_home_yurika2_6,DialogOptionSelected,$option == mimikko_Inhome_yurika2_4,,"""Keep going!"" Yurika's score went from all Cs when she first joined to being able to give basic command of the fleet. Her growth is extraordinary, perhaps her piloting skill in the front line knife fighting has already surpassed you, maybe it is only a matter of time before she defeat you?

You remember what Nonona told you about their past, Yurika was just a bad student at the academy, perhaps the Demon Lord didn't even realize her change. What allowed Yurika to defeat kings and heros probably isn't her Demon Lord bloodline or magic, but instead her truly extraordinary resolution and determination.

You suddenly had the urge to get a sense of the gap between Yurika's piloting skill and yours, and she is not one to turn anyone down. Speaking of which, you remember the training room manager may have told you she is probably one of the best Cruiser trainer for Cadets?",5:mimikko_Inhome_yurika2_5:Ready?,,,
mimokko_home_yurika2_7,DialogOptionSelected,$option == mimikko_Inhome_yurika2_5,,"""I am ready, captain! As a small step towards beating you, I will treasure this chance!"" This is not the first time you've seen Yurika being this motivated, but she also shows extra caution, this makes you feel she is already a very sharp, powerful enemy.

Though the training room largely simulated the control of a ship, it cannot fully simulate the effect of commanding a ship's crew. Clarity of command and articulation are also important indication of a commander's quality. 
",5:mimikko_Inhome_yurika2_6:Continue,,,
mimokko_home_yurika2_8,DialogOptionSelected,$option == mimikko_Inhome_yurika2_6,,"In her fight with you, Yurika have shown her willingness to test you by poking. The simulated environment are filled with asteroids, though they do little damage to cruiser armor, they clearly impact the mobility of the ships. Yurika no longer shows her recklessness for blind charges, instead skirmishes around the asteroid field and launch repeated attacks. Your attempt to predict her attack route are met by her apt use of incoming space dust to divert your torpedos. She managed to deal a heavy blow by forcing her way through your remaining fire. However, you have held enough reserve to use your salamndar missile to disable her engine, before overloading her shield with merciless fire, followed by her armor, and finally hull.

You wipe away your cold sweat, Yurika's ability to improvise has become terrifying, and her judgement in determining when to attack is only slightly worse than yours. Had your trick been stopped and you are unable to stop her engine, it will be your ship that become reduced to scrap metal - in the training machine ofcourse.",5:mimikko_Inhome_yurika2_7:That's great!,,,
mimokko_home_yurika2_9,DialogOptionSelected,$option == mimikko_Inhome_yurika2_7,,"""Ah, still lost, I thought I had it this time!"" You heard Yurika let out a breath, but battlelust is clearly on her face, just like a towering Demon Lord standing in the edge of bloodthirst.

""Captain, if you are this strong, why don't you got beat all those scheming Tri-Tachyon people and those greedy Hegemony officals! It should be easy for the captain!"" Recieving more praise, you are in a good mood, but this question is like a daughter asking a father why doesn't he just beat up the mean boss at work. 
",5:mimikko_Inhome_yurika2_8:Answer her,,,
mimokko_home_yurika2_10,DialogOptionSelected,$option == mimikko_Inhome_yurika2_8,,"""Our world is not one where you can defeat a country or faction by weapons alone. Just like commanding a fleet, quality of fleet is one thing, quality of crew is another. Sometime, the crew's morale is more important than equipment."" You don't want to tell her too many things like this, as long as she is still training in this world, she will realize it takes far more than power to beat heroes and kings in this world.

""I understand, I can't help the captain much, but you must not let anyone defeat you before I do, captain. I have decided to give some of my power to captain, what do you think?"" Help from another world can be support to triumph over another faction. In your understanding, there has been more than one battle decided by Yurika and Nonona's other worldly powers. Any such help are precious, you have no reason to refuse.

Yurika extended her hands, power of two different color gather in her hand, the Demon Lord is waiting for your choice. 
","5:mimikko_Inhome_yurika2_9_1: Pick resolute red.
5:mimikko_Inhome_yurika2_9_2: Pick sharp green.",,,
mimokko_home_yurika2_11,DialogOptionSelected,$option == mimikko_Inhome_yurika2_9_1,"$global.yurikashield = true
mmAddWeapon mimikko_yurika_shield_1 1","The power turned into some strange data stream and flowed into your tripada, it formed a sort of manual in your hands. The manual records, experience? associated with channeling energy onto an iron shield to block damage. You quickly connected the dot and thought about the energy amplifier used by warships.

""Thank you, Yurika! This will be another revolutionary technology!""
",5:mimikko_Inhome_next:Walk towards the bridge,,,
mimokko_home_yurika2_12,DialogOptionSelected,$option == mimikko_Inhome_yurika2_9_2,"$global.yurikashield = true
mmAddWeapon mimikko_yurika_shield_2 1","The power turned into some strange data stream and flowed into your tripada, it formed a sort of manual in your hands. The manual records, experience? associated with channeling energy onto an iron shield to block damage. You quickly connected the dot and thought about the energy amplifier used by warships.

""Thank you, Yurika! This will be another revolutionary technology!""
",5:mimikko_Inhome_next:Walk towards the bridge,,,
,,,,,,,,
#星之毅_对话,,,,,,,,
mimikko_home_yurika_ship_3_0,OpenInteractionDialog,"$mimikko_mao score:9999
!$global.yurikaship",ShowImageVisual orbital_construction,Your fleet approached this ship.,5:mimikko_Inhome_yurika3_1:Salvage,,,
mimikko_home_yurika_ship_3_1,DialogOptionSelected,$option == mimikko_Inhome_yurika3_1,,"As your salvage team begin to scan this ship, the ship scan revealed the ship hull much quicker than usual, a wrecked Onslaught-Class.",5:mimikko_Inhome_yurika3_2:Wait,,,
mimikko_home_yurika_ship_3_2,DialogOptionSelected,$option == mimikko_Inhome_yurika3_2,,"Just as your technican about to stop scanning and forward data, your intuition tells you things aren't that simple.

You immediately order the salvage team to stop boarding, and ask the equipment team to continue the scan. As you board the shuttle and grabbed stirring, a chill sent down your spine. 
",5:mimikko_Inhome_yurika3_3:What a strange ship,,,
mimikko_home_yurika_ship_3_3,DialogOptionSelected,$option == mimikko_Inhome_yurika3_3,,"You carefully wondered about this abandoned ship, when you approached its signature thermal pulse cannon, you found some discrepency.

It was a slight hole, if not for the glowing internal structure inside, no one would've discovered the secret under the ship's hull. 

Under the hull, you can see several circular band  of light mvoing, based on the hull scan, the ship should've been abandoned for several hundred years, not to mention the terrible environement caused by the surrounding magnetic field.

Yet a ship in such condition can release energy on its own?",5:mimikko_Inhome_yurika3_4:Open the outer hull first,,,
mimikko_home_yurika_ship_3_4,DialogOptionSelected,$option == mimikko_Inhome_yurika3_4,$global.yurikaship = true,"As low power mining beam gradually broke the outer hull, the world finally got a look at a corner of this ship.

What's fortunate is that the landing bay and most structures of this ship is quiet like normal Onslaught-Class. Yet the ship's engine and the bow thermal pulse cannon have undergone extensive change and modification. Besides the extensive amount of mining equipment, some ""Extremely"" damaged document, and the ships's fire red color and golden glow, nothing else can indicate the nature of the ship.

Then again, clearly no one wants this one?",0:salExplore:Salvage,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
#卡斯塔莉亚,,,,,,,,
mimokko_home_kasutaria,mimikkoImhome2,mmOfficertest 2 Mimikko_kasutaria 0,,,5:mimikko_Inhome_kasutaria1:Go find Ria!,,,
mimokko_home_kasutaria_1,DialogOptionSelected,$option == mimikko_Inhome_kasutaria1,"FireAll mimikko_home_kasutaria
mmShowpeoplev Mimikko_kasutaria",,,,,
,,,,,,,,
mimokko_home_kasutaria1_1,mimikko_home_kasutaria,,,"""Captain is quite cute today as well~""",5:mimikko_Inhome_kasutaria1_1:Pat her,,,
mimokko_home_kasutaria1_2,DialogOptionSelected,$option == mimikko_Inhome_kasutaria1_1,,"""That's not much of a reward~""",5:mimikko_Inhome_next:Do something else,,,
,,,,,,,,
#卡斯塔莉娅_头像,,,,,,,,
mimokko_home_kasutaria_clo_0_1,mimikko_home_kasutaria,,,,"5:mimikko_Inhome_kasutaria_clo_0:Ria, can you change for me?",可以换一件衣服给我看吗？,,
mimokko_home_kasutaria_clo_0_2,DialogOptionSelected,$option == mimikko_Inhome_kasutaria_clo_0,FireAll mimikko_home_kasutaria_clo,,,,,
#卡斯塔莉娅_原皮,,,,,,,,
mimokko_home_kasutaria_clo_1_1,mimikko_home_kasutaria_clo,,,,5:mimikko_Inhome_kasutaria_clo_1:Official Outfit,,,
mimokko_home_kasutaria_clo_1_2,DialogOptionSelected,$option == mimikko_Inhome_kasutaria_clo_1,mmChangeclo Mimikko_kasutaria kasutaria_1,"""If the Captain is obedient enough, it's not like I can't or anything~""",5:mimikko_Inhome_next:Yay,,,
