name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autoFireAccBonus,extraArcForAI,hints,tags,GroupTag,tech/manufacturer,,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Barrage Cutter,A_S-F_phantasmagoria_cutter,0,,1000,500,,20,,2,50,,,,,ENERGY,10,,0,0.1,,,6,14,1,8,,1600,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Assault,,,,,"After using the Dimensional Teleporter this weapon will be overcharged for a brief period.
When Overcharged shots deal %s damage.",40,,,,22219.2
Barrage Cutter Overcharge,A_S-F_phantasmagoria_cutter_overcharge,0,,1000,500,,40,10,4,50,,,,,ENERGY,10,,0,0.1,,,6,14,1,8,,1600,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Violence,,,,,,,,,,22219.25
Barrage Slicer,A_S-F_phantasmagoria_slicer,0,,1000,450,,15,,1,50,,,,,KINETIC,8,,0,0.6,,,14,22,2,8,,1200,,,,,6,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Assault,,,,,"After using the Dimensional Teleporter this weapon will be overcharged for a brief period.
When Overcharged will fire %s shots at a time.",12,,,,22219.3
Barrage Slicer Overcharge,A_S-F_phantasmagoria_slicer_overcharge,0,,1000,450,,15,5,2,50,,,,,KINETIC,8,,0,0.6,,,14,22,1,8,,1300,,,,,6,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Violence,,,,,,,,,,22219.35
Barrage Piercer,A_S-F_phantasmagoria_piercer,0,,1000,550,,60,20,6,50,,,,,HIGH_EXPLOSIVE,48,,0,0.7,2,0.1,2,7,1,6,,2000,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Assault,,,,,"After using the Dimensional Teleporter this weapon will be overcharged for a brief period.
When Overcharged shots deal %s damage and hits on hull or armor arc to weapons and engines, dealing extra damage equal to %s of the original hit.",100 | 30%,,,,22219.4
Barrage Piercer Overcharge,A_S-F_phantasmagoria_piercer_overcharge,0,,1000,550,,100,60,12,50,,,,,HIGH_EXPLOSIVE,48,,0,0.4,,,2,7,1,6,,2000,,,,,,"SYSTEM, PD, PD_ALSO","no_drop, no_sell, no_drop_salvage",,,,Violence,,,,,,,,,,22219.45
Disruption Autocannon,A_S-F_dis_ac,0,,1000,400,,35,50,5,40,,,,,KINETIC,25,,0,0.5,1,,0,7,1,15,,800,,,20,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,,,Suppression,,,,,,,,,,2220.9
Vunja Autocannon,A_S-F_breaker,0,,100000,900,,100,,10,10,,,,,FRAGMENTATION,75,,0,0.25,1,,0,8,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,General,,,,,Shots deal an additional %s damage on impact.,50 High Explosive,,,,222001
Gaderoga Rocket,A_S-F_gaderoga_rkt,0,,1000,1000,,100,10,10,0,,,,,KINETIC,,,0,0.1,1,,4,12,2,8,,700,100,3,80,,,SYSTEM,,,,,Anti Shield,Fast,None,,,,,,,,222002
Gaderoga Missile,A_S-F_gaderoga_mssl,0,,1000,1000,,120,20,10,0,,,,,FRAGMENTATION,,,0,0.1,1,,0,0,0,0,,450,150,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD",,,,,Suppression,Fast,Excellent,,,,,,,,222003
Gaderoga Missile 2,A_S-F_gaderoga_mssl_2,0,,1000,1000,,120,20,10,0,,,,,FRAGMENTATION,,,0,0.1,1,,0,0,0,0,,450,250,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD",,,,,Suppression,Fast,Excellent,,,,,,,,222003.1
Kombora Missile Launcher,A_S-F_kombora,0,,1000,1500,,200,200,15,20,,8,0.4,,FRAGMENTATION,0,,0,1,1,,5,10,1,5,,450,80,4.5,80,,,"SYSTEM, GUIDED_POOR, DO_NOT_CONSERVE, MISSILE_SPREAD",,,[ArkTech],,Suppression,Fast,Medium,,,"Hits on shields have a chance to arc through to weapons and engines, dealing %s EMP damage. The chance to pierce the shields is based on the target's hard flux level.",200,,,,222006
Zalak Jamming Array,A_S-F_zalak,0,,10000,800,200,,150,300,12,,,,,ENERGY,,400,0.25,0.5,0.75,2.5,,,,,20000,,,,,,,"SYSTEM, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,Disruption,,,,,"If the beam hits a ship, then the weapon will fire a burst of %s projectiles that each deal %s and %s damage and arc through shields to weapons and engines dealing %s damage.
The beam itself will slow and push targets off-course. The effect is strong and highly noticeable on lighter targets.",7 | 80 Energy | 150 EMP | 75 EMP,,,,222007
Dhoruba Missile Array,A_S-F_rainstorm_L,0,,100000,1500,,135,,10,10,,,,,KINETIC,54,,0,0.75,1,,0,8,1,12,,750,350,5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,Anti Shield,Fast,Good,,,,,,,,222009
Dhoruba Missile Array,A_S-F_rainstorm_R,0,,100000,1500,,135,,10,10,,,,,KINETIC,54,,0,0.75,1,,0,8,1,12,,750,350,5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,Anti Shield,Fast,Good,,,,,,,,222009.1
Grandum Torp Launcher,A_S-F_grandum_torp,0,,10000,1500,,600,60,60,10,,,,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,450,150,5,250,,,"SYSTEM, GUIDED_POOR, MISSILE_SPREAD",,,[ArkTech],,Finisher,Fast,Good,,,,,,,,222010
Zweig SRM,A_S-F_zweig_srm,0,,1000,800,,125,,10,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,20,40,5,3,,500,160,3,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, MISSILE_SPREAD",,,,,Anti Small Craft,Very Fast,Excellent,,,,,,,,222200
Tereshkov Strike Missile,A_S-F_tereshkov_rocket,0,,10000,1500,,600,,35,10,,4,0.1,1,HIGH_EXPLOSIVE,0,,0,2.4,1,,0,0,0,,,700,100,4.5,300,,,"SYSTEM, DO_NOT_AIM, CONSERVE_1, STRIKE, USE_VS_FRIGATES, DIRECT_AIM",,,,,Strike,Very Fast,Medium,,,"On impact a spread of %s projectiles are released into the target, each dealing %s damage.",5 | 100 Fragmentation,,,,222201
Coralian Photon Lancet Nodes L,A_S-F_coralian_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,DECO,,,,,,,,,,22205.1
Coralian Photon Lancet Nodes R,A_S-F_coralian_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,DECO,,,,,,,,,,22205.2
Coralian Photon Lancet,A_S-F_coralian_core,0,,10000,700,,250,,10,18,,,,,ENERGY,200,,0,4,1,,0,0,0,0,,1000,,,80,,,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,,,Strike,,,,Special,"Shots are launched from ports on the hull, and spread out before turning to face the current target.",,,,,22205.3
Coralian Photon Lancet Sub,A_S-F_coralian_sub,0,,10000,760,,250,,10,18,,,,,ENERGY,200,,0,4,1,,0,0,0,0,,1000,,,80,,,"SYSTEM, DO_NOT_AIM, STRIKE, USE_VS_FRIGATES",,,,,Strike,,,,Special,"Shots are launched from ports on the hull, and spread out before turning to face the current target.",,,,,22205.4
Compac Seeker Array,A_S-F_compac,0,,10000,500,,30,,1,90,,,,,ENERGY,10,,0,0.85,4,0.05,2,10,2,4,,800,,,10,,10,"SYSTEM, GUIDED_POOR, PD, IGNORES_FLARES",,,,,Point Defense,,,,,Each projectile deals %s additional damage when hitting a missile or a fighter.,30,,,,22205.5
Compac Seeker Array Sub,A_S-F_compac_sub,0,,10000,600,,30,,1,90,,,,,ENERGY,10,,0,0.85,4,0.05,2,10,2,4,,800,,,10,,10,"SYSTEM, GUIDED_POOR, PD, IGNORES_FLARES",,,,,Point Defense,,,,,Each projectile deals %s additional damage when hitting a missile or a fighter.,30,,,,22205.6
Tactical Lance,A_S-F_tacLance,0,,1000,1000,160,,,1,25,,,,,ENERGY,,0,0.15,0.15,0.65,1.45,,,,,4000,,,,,,,"SYSTEM, PD",,,,,General / Point Defense,,,,,,,,,,222018.1
Huivi Missile Pod,A_S-F_henki_l,0,,1000,1600,,100,40,5,10,,30,0.5,6,FRAGMENTATION,,,0,2.25,6,0.15,1,1,0,0,,600,750,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST",,,,,Saturation,Fast,Good,,,,,,,,22206
Huivi Missile Pod,A_S-F_henki_r,0,,1000,1600,,100,40,5,10,,30,0.5,6,FRAGMENTATION,,,0,2.25,6,0.15,1,1,0,0,,600,750,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST",,,,,Saturation,Fast,Good,,,,,,,,22206.1
Huivi Missile Pod,A_S-F_pneuma_pod,0,,1000,1600,,100,40,5,10,,80,1.333333,16,FRAGMENTATION,,,0,2.3,8,0.1,1,1,0,0,,600,500,4.5,90,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, MISSILE_SPREAD, RESET_BARREL_INDEX_ON_BURST",,,,,Saturation,Fast,Good,,,,,,,,22206.2
Kombeo Cluster Flak (Fighter),A_S-F_kombeo_f,0,,1000,400,,40,,10,60,,,,,HIGH_EXPLOSIVE,50,,0,0.66666,1,,0,12,2,12,,700,,,40,,,"SYSTEM, PD",,,[ArkTech],,Point Defense (Area),,,,,Shells deploy %s clusters that each deal %s fragmentation damage.,3 | 20,,,,222014.1
Kundi SRM Launcher,A_S-F_kundi,0,,1000,1000,,120,20,10,0,,3,0.125,1,FRAGMENTATION,,,0,2.4,3,0.3,0,0,0,0,,450,150,4,60,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, MISSILE_SPREAD",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,22207
AURA Bolter,A_S-F_AURA_bolter,0,,10000,800,,100,,10,16,,,,,FRAGMENTATION,30,,0,0.2,1,,0,10,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,General,,,,,"When %s is active, shots become charged and deal an additional %s damage on impact.",AURA Feed | 100 Energy,,,,22208
AURA Bolter Charged,A_S-F_AURA_bolter_charged,0,,10000,800,,100,,10,16,,,,,FRAGMENTATION,30,,0,0.2,1,,0,10,1,12,,800,,,40,,,"SYSTEM, PD, PD_ALSO, FIRE_WHEN_INEFFICIENT",,,[ArkTech],,General,,,,,Shots are charged and deal an additional %s damage on impact.,100 Energy,,,,22208.1
Gimbal Micromissile Pod (Bomber),A_S-F_gimbal_bomber,0,,1000,1200,,100,,25,10,,10,,,KINETIC,0,,0,4.2,10,0.2,6,20,2,2,,550,90,4,50,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD, DIRECT_AIM",,,,,Anti Shield,Fast,Good,,,,,,,TRUE,22211.11
Sprocket HSRM (Bomber),A_S-F_sprocket_bomber,0,,1000,1200,,300,100,15,10,,2,,,ENERGY,0,,0,4.5,2,0.5,0,0,0,0,,360,50,4.75,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD",,,,,Anti Small Craft,Medium,Good,,,,,,,TRUE,22211.71
Contradict Rocket (Bomber),A_S-F_contradict_bomber_fake,0,,1000,1200,,400,600,15,10,,1,,,FRAGMENTATION,0,,0,5,1,,8,8,0,0,,400,0,4.5,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES, MISSILE_SPREAD",,,,,Suppression,Fast,Minor (Course-Correction),,,"On impact increases the targets soft flux level by %s.
Hits on hull or armor will produce up to %s arcs, each dealing %s and %s damage.",450 | 3 | 40 Energy | 150 EMP,,,TRUE,222102.1
Aspina Spread Missiles,A_S-F_aspina,0,,10000,1200,,75,,16,40,,80,2.666666,8,HIGH_EXPLOSIVE,0,,0,2.65,8,0.05,16,16,0,0,,450,90,4,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, RESET_BARREL_INDEX_ON_BURST",,,,,Anti Small Craft,Fast,Excellent,,,,,Ammunition regeneration rate is reduced to %s of the standard rate while %s is active.,1/3 | Ballistic Overdrive,,22212.2
Akva Vit Graviton Missiles,A_S-F_akvavit,0,,10000,1600,,30,,15,10,,,,,KINETIC,0,,0,7.85,24,0.05,4,4,0,0,,500,130,5.5,100,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, RESET_BARREL_INDEX_ON_BURST",,,,,Disruption,Fast,Excellent,,,On impact applies an impulse that pulls the target.,,,,,22212.3
Philia Mag Missiles,A_S-F_akvavit_lafiel,0,,10000,1600,,60,100,15,10,,,,,ENERGY,0,,0,6.9,12,0.1,4,4,0,0,,400,120,6.6,180,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE, FIRE_WHEN_INEFFICIENT, RESET_BARREL_INDEX_ON_BURST",,,,,Disruption,Fast,Excellent,,,"On impact magnetic interference slows the target.

Hits on hull or armor arc to weapons and engines, dealing extra EMP and energy damage. Hits on shields have a chance to generate a shield-penetrating arc based on the target's hard flux level.",,,,,22212.4
Snub Mortar,A_S-F_snubmortar,0,,10000,500,,150,,16,30,,,,,HIGH_EXPLOSIVE,120,,0,1.2,1,0,2,17,5,5,,500,,,30,,,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,,,Anti Armor,,,,,,,,,,22203.9
Macron Cannon (Single),A_S-F_macron_single,0,,1000,900,,20,5,2,20,,,,,HIGH_EXPLOSIVE,15,,0.1,1.25,6,0.05,0,0,0,0,,1200,,,10,,,SYSTEM,,,,,Anti Armor,,,,,,,,,,2223.21
Cauldron Flux Shear Torpedo,A_S-F_cauldron,0,,1000,1200,,800,1600,40,10,,1,,,ENERGY,0,,0,5,1,,0,0,0,0,,440,100,3.5,480,,,"SYSTEM, STRIKE",,,,,Torpedo,Fast,None,,,"Hits on shields will convert up to %s of the targets soft flux into hard flux.

Hits on hull or armor will arc %s times to weapons and engines, each arc dealing %s energy and %s EMP damage.",1000 | 4 | 100 | 400,,,TRUE,2229.1
Micro-Pulse Repeater (High Delay),A_S-F_micropulser_ammon,0,,1000,400,,20,,1,100,,6,2,3,ENERGY,12,,0.06666,0,1,,2,6,0.5,2.5,,1000,,,,,,"SYSTEM, PD",,,,,Point Defense,,,,,,,,,,22217.1
Moros-class Torpedo,A_S-F_moros_f,0,,1000,1200,,600,,20,10,,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,700,400,3,180,,,"SYSTEM, STRIKE",,,,,Torpedo,Very Fast,None,,,,,,,TRUE,2229.21
Quicksand Machinecannon (Fighter),A_S-F_quicksand_f,0,,1000,500,,30,,2,40,,20,3.33333,5,HIGH_EXPLOSIVE,18,,0,0.1,,,1,8,0.5,6,,900,,,20,,,"SYSTEM,PD,ANTI_FTR",,,,,Point Defense,,,,,,,,,,2223.851
Omer Spread Missiles (Fighter),A_S-F_omer_f,0,,1000,1000,,60,,15,40,,4,0.2,2,HIGH_EXPLOSIVE,15,,0,9.9,2,0.1,16,16,0,0,,450,90,3,25,,,"SYSTEM,ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,22212.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasteland Dummy,A_S-F_wasteland_dummy,0,,1000,1000,,125,,15,50,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,0,0,0,,400,200,4,50,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM",,,,,Anti Small Craft,Fast,Excellent,,,,,,,,22210.11
Nieuport Linear Rifle Sub 1,A_S-F_nieuport_sub_1,0,,1000,700,,75,10,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.1
Nieuport Linear Rifle Sub 2,A_S-F_nieuport_sub_2,0,,1000,700,,75,20,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.2
Nieuport Linear Rifle Sub 3,A_S-F_nieuport_sub_3,0,,1000,700,,75,30,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.3
Nieuport Linear Rifle Sub 4,A_S-F_nieuport_sub_4,0,,1000,700,,75,40,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.4
Nieuport Linear Rifle Sub 5,A_S-F_nieuport_sub_5,0,,1000,700,,75,50,10,30,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,1000,,,40,,,SYSTEM,,,,,,,,,,,,,,,222004.5
Zalak Bolt,A_S-F_zalak_bolt,0,,1000,950,,80,150,0,25,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,1000,,,60,,,SYSTEM,,,,,,,,,,,,,,,222007.1
AURA Missile,A_S-F_AURA_missile,0,,1000,1200,,120,,5,25,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,300,5,80,,,SYSTEM,,,,,,,,,,,,,,,222011
Kabid Sub 1,A_S-F_kabid_sub1,0,,1000,900,,140,10,10,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3750,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.1
Kabid Sub 2,A_S-F_kabid_sub2,0,,1000,900,,120,20,8,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3500,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.2
Kabid Sub 3,A_S-F_kabid_sub3,0,,1000,900,,100,30,6,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3250,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.3
Kabid Sub 4,A_S-F_kabid_sub4,0,,1000,900,,80,40,4,12,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,3000,,,50,,,SYSTEM,,,,,,,,,,,,,,,222013.4
Naxdin Burst,A_S-F_naxdin_burst,0,,1000,12,,120,,1,12,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,4,,,50,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,222016.1
Naxdin Bolt,A_S-F_naxdin_bolt,0,,1000,50,,40,50,5,12,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,800,,,50,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,222016.2
Tereshkov OnHit,A_S-F_tereshkov_onhit,0,,1000,120,,100,,4,10,,,,,FRAGMENTATION,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,Anti Armor,,,,,,,,,,222201.1
Kufikiri HE Sub,A_S-F_kufikiri_HE_sub,0,,1000,1000,,240,,16,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,1,,0,0,0,0,,700,,,100,,,SYSTEM,,,,,,,,,,,,,,,222017.1
Kufikiri KE Sub,A_S-F_kufikiri_KE_sub,0,,1000,1000,,100,60,9,10,,,,,KINETIC,0,,0,0.1,1,,0,0,0,0,,800,,,100,,,SYSTEM,,,,,,,,,,,,,,,222017.2
Chillblain Collapse Field,A_S-F_chillblain_field,0,,100000,100,,5000,1000,10,18,,,,,ENERGY,0,,0,1,1,,0,0,0,0,,1,,,800,,,SYSTEM,dummy_proj,,,,Destruction,,,,,,,,,,22200.11
Nasibu Dummy,A_S-F_nasibu_dummy,0,,10000,1500,,200,,10,15,,,,,ENERGY,0,,0,0.1,1,,5,5,0,0,,500,1,9,80,,,SYSTEM,,,,,,,,,,"Missiles are launched in a spread, with a random launch orientation.",,,,,222019.1
Spellbind Flak,A_S-F_spellbind_flak,0,,100000,40,,200,,15,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,60,,,100,,,SYSTEM,dummy_proj,,,,,,,,,,,,,,22200.21
Lamia Bolt,A_S-F_lamia_bolt,0,,1000,700,,100,300,4,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,,,,,,,,,,,2223.31
Lerna Submunition,A_S-F_lerna_sub,0,,1000,800,,300,900,10,20,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,0,0,8,120,,,SYSTEM,,,,,,,,,,"Submunition hits on hull or armor will arc to weapons and engines, dealing extra damage equal to the original hit.",,,,,2223.41
Lerna Bolt,A_S-F_lerna_bolt,0,,1000,800,,100,300,4,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,600,,,10,,,SYSTEM,,,,,,,,,,,,,,,2223.42
Contradict Rocket (Bomber),A_S-F_contradict_bomber_real,0,,1000,1200,,500,800,15,10,,1,,,FRAGMENTATION,0,,0,5,1,,8,8,0,0,,400,0,4.5,150,,6,"SYSTEM, STRIKE, USE_VS_FRIGATES",,,,,Suppression,Fast,Minor (Course-Correction),,,"On impact increases the targets soft flux level by %s.
Hits on hull or armor will produce %s arcs, each dealing %s and %s damage.",600 | 3 | 50 Energy | 200 EMP,,,TRUE,222102.2
Light Canister Flak,A_S-F_light_canister_flak,0,,1000,200,,100,,10,10,,,,,HIGH_EXPLOSIVE,0,,0,0.1,4,0.5,140,140,0,0,,50,200,2,80,,,SYSTEM,,,,,,,,,,,,,,,22235.5
Burst PD Laser (Clavata),A_S-F_joro_heavyburst,0,,10000,750,360,,180,4,180,,8,0.6,,ENERGY,,200,0.1,0.1,0.3,0.1,,,,,15000,,,,,,,"SYSTEM, PD, ANTI_FTR, IGNORES_FLARES",,,,,Point Defense,,,,,Advanced built-in targeting sensors enable the weapon to identify decoy flares and not fire on them.,decoy flares,,,,222222.5
Sakset Fragment,A_S-F_sakset_frag,0,,1000,90,,30,0,5,10,,,,,FRAGMENTATION,0,,0,0.1,1,,0,0,0,0,,450,,,10,,,"SYSTEM, PD",,,,,,,,,,,,,,,2228.35
Flak Screen,A_S-F_flak_screen,0,,10000,300,,200,,,,,,0,,HIGH_EXPLOSIVE,0,0,0,0.1,5,0.75,100,100,0,0,,50,200,3,150,,,SYSTEM,,,,,,,,,,,,,,,22235.6
Targeting Laser - Silaha,A_S-F_targetinglaser_silaha,0,,1,0,100,,150,8,200,0,,,,ENERGY,,0,0.05,0.05,,,,,,,1000000,,,,,,,SYSTEM,,,,,Special,,,,,,,,,,222020.1
Persis Submunition,A_S-F_persis_sub,0,,10000,1500,,50,,3,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,500,100,3,30,,,SYSTEM,,,,,Swarm,Fast,Excellent,,,,,,,,222021.1
Heatstroke Sub,A_S-F_heatstroke_sub,0,,100000,700,,100,,10,10,,,,,ENERGY,0,,0,0.1,1,,0,0,0,0,,350,,,10,,,SYSTEM,,,[Anomalous],,Punishment,,,,,"On impact with hull or armour projectile will embed and deal an additional %s damage over the course of %s seconds. 
If the target overloads then embedded projectiles will combust, changing their damage type to %s.",300 Fragmentation | 8 | High Explosive,,,,22200.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangda Deco,A_S-F_rangda_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Rangda Vector Thruster,A_S-F_rangda_thruster,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Deco L,A_S-F_niteo_deco_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Deco R,A_S-F_niteo_deco_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Vector Thruster,A_S-F_niteo_thruster,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Niteo Vector Thruster (Small),A_S-F_niteo_thruster_s,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Deco L,A_S-F_lafiel_deco_l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Deco R,A_S-F_lafiel_deco_r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Vector Thruster,A_S-F_lafiel_thruster,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Lafiel Vector Thruster (Small),A_S-F_lafiel_thruster_s,,,,1,,1,,,,,,,,,,,,10,,,,,,,,10,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
Flogger Deco,A_S-F_flogger_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
